Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
ENSRNOP00000046140	ENSRNOT00000040969	ENSRNOG00000010795	Cnot4	"CCR4-NOT transcription complex, subunit 4 [Source:RGD Symbol;Acc:1310318]"
ENSRNOP00000046148	ENSRNOT00000047230	ENSRNOG00000049674	LOC501421	hypothetical gene supported by BC082068 [Source:RGD Symbol;Acc:1587237]
ENSRNOP00000046151	ENSRNOT00000044407	ENSRNOG00000011814	Cbx3	chromobox homolog 3 [Source:RGD Symbol;Acc:1549705]
ENSRNOP00000046154	ENSRNOT00000043806	ENSRNOG00000048540	Olr81	olfactory receptor 81 [Source:RGD Symbol;Acc:1332721]
ENSRNOP00000046157	ENSRNOT00000040909	ENSRNOG00000031358	RGD1564469	similar to Acidic ribosomal phosphoprotein P0 [Source:RGD Symbol;Acc:1564469]
ENSRNOP00000046161	ENSRNOT00000041089	ENSRNOG00000057967	Vom2r64	"vomeronasal 2 receptor, 64 [Source:RGD Symbol;Acc:1584665]"
ENSRNOP00000046164	ENSRNOT00000051060	ENSRNOG00000001575	Grik1	"glutamate receptor, ionotropic, kainate 1 [Source:RGD Symbol;Acc:2732]"
ENSRNOP00000046167	ENSRNOT00000041798	ENSRNOG00000032705	Bcl7b	B-cell CLL/lymphoma 7B [Source:RGD Symbol;Acc:1597090]
ENSRNOP00000046168	ENSRNOT00000046417	ENSRNOG00000029755	Olr199	olfactory receptor 199 [Source:RGD Symbol;Acc:1334153]
ENSRNOP00000046185	ENSRNOT00000051732	ENSRNOG00000031595	LOC102554838	stathmin domain-containing protein 1-like [Source:RGD Symbol;Acc:7714979]
ENSRNOP00000046187	ENSRNOT00000046402	ENSRNOG00000029545	H1fnt	"H1 histone family, member N, testis-specific [Source:RGD Symbol;Acc:1560024]"
ENSRNOP00000046194	ENSRNOT00000046888	ENSRNOG00000023334	Parp14	"poly (ADP-ribose) polymerase family, member 14 [Source:RGD Symbol;Acc:1310490]"
ENSRNOP00000046207	ENSRNOT00000046310	ENSRNOG00000050125	Olr779	olfactory receptor 779 [Source:RGD Symbol;Acc:1333499]
ENSRNOP00000046223	ENSRNOT00000042213	ENSRNOG00000033584	LOC362921	Ac2-224 [Source:RGD Symbol;Acc:1359428]
ENSRNOP00000046226	ENSRNOT00000049508	ENSRNOG00000030508	LOC689220	similar to Cystatin S precursor (LM protein) [Source:RGD Symbol;Acc:1594832]
ENSRNOP00000046235	ENSRNOT00000047303	ENSRNOG00000026985	Phldb1	"pleckstrin homology-like domain, family B, member 1 [Source:RGD Symbol;Acc:620878]"
ENSRNOP00000046247	ENSRNOT00000052043	ENSRNOG00000030386	Cldn18	claudin 18 [Source:RGD Symbol;Acc:1359696]
ENSRNOP00000046248	ENSRNOT00000040898	ENSRNOG00000033527	Pappa	pregnancy-associated plasma protein A [Source:RGD Symbol;Acc:1307742]
ENSRNOP00000046259	ENSRNOT00000051009	ENSRNOG00000010681	Pitx2	paired-like homeodomain 2 [Source:RGD Symbol;Acc:3331]
ENSRNOP00000046261	ENSRNOT00000040556	ENSRNOG00000058824	AABR07065789.3	
ENSRNOP00000046265	ENSRNOT00000040697	ENSRNOG00000033330	Skida1	SKI/DACH domain containing 1 [Source:RGD Symbol;Acc:1588196]
ENSRNOP00000046270	ENSRNOT00000046700	ENSRNOG00000016070	Trpc3	"transient receptor potential cation channel, subfamily C, member 3 [Source:RGD Symbol;Acc:61973]"
ENSRNOP00000046271	ENSRNOT00000050398	ENSRNOG00000031731	Fam216a	"family with sequence similarity 216, member A [Source:RGD Symbol;Acc:1310861]"
ENSRNOP00000046273	ENSRNOT00000045830	ENSRNOG00000030276	Ctsm	cathepsin M [Source:RGD Symbol;Acc:631420]
ENSRNOP00000046276	ENSRNOT00000051687	ENSRNOG00000015394	Trpv5	"transient receptor potential cation channel, subfamily V, member 5 [Source:RGD Symbol;Acc:620636]"
ENSRNOP00000046277	ENSRNOT00000040736	ENSRNOG00000011815	Sgk1	serum/glucocorticoid regulated kinase 1 [Source:RGD Symbol;Acc:3668]
ENSRNOP00000046278	ENSRNOT00000040447	ENSRNOG00000049843	AABR07016950.1	
ENSRNOP00000046279	ENSRNOT00000041840	ENSRNOG00000030907	Ctf2	cardiotrophin 2 [Source:RGD Symbol;Acc:1308254]
ENSRNOP00000046281	ENSRNOT00000051911	ENSRNOG00000030364	LOC686074	similar to 60S ribosomal protein L35 [Source:RGD Symbol;Acc:1586622]
ENSRNOP00000046284	ENSRNOT00000051082	ENSRNOG00000036747	AABR07054723.1	
ENSRNOP00000046286	ENSRNOT00000044008	ENSRNOG00000005229	Sec16b	"SEC16 homolog B, endoplasmic reticulum export factor [Source:RGD Symbol;Acc:621658]"
ENSRNOP00000046296	ENSRNOT00000043572	ENSRNOG00000008047	Khk	ketohexokinase [Source:RGD Symbol;Acc:2966]
ENSRNOP00000046297	ENSRNOT00000047580	ENSRNOG00000031805	Krt36	"keratin 36, type I [Source:RGD Symbol;Acc:1305792]"
ENSRNOP00000046298	ENSRNOT00000045270	ENSRNOG00000033618	Col28a1	"collagen, type XXVIII, alpha 1 [Source:RGD Symbol;Acc:1564680]"
ENSRNOP00000046300	ENSRNOT00000045855	ENSRNOG00000023943	Gbp1	"guanylate binding protein 1, interferon-inducible [Source:RGD Symbol;Acc:1311877]"
ENSRNOP00000046301	ENSRNOT00000043590	ENSRNOG00000030278	RGD1564839	similar to ribosomal protein L31 [Source:RGD Symbol;Acc:1564839]
ENSRNOP00000046309	ENSRNOT00000050333	ENSRNOG00000029978	Olr122	olfactory receptor 122 [Source:RGD Symbol;Acc:1334424]
ENSRNOP00000046312	ENSRNOT00000040244	ENSRNOG00000033366	AABR07018646.1	
ENSRNOP00000046320	ENSRNOT00000047734	ENSRNOG00000007436	LOC100158225	hypothetical protein LOC100158225 [Source:RGD Symbol;Acc:2293499]
ENSRNOP00000046329	ENSRNOT00000049607	ENSRNOG00000046869	Olr233	olfactory receptor 233 [Source:RGD Symbol;Acc:1333500]
ENSRNOP00000046335	ENSRNOT00000048613	ENSRNOG00000031785	Krt76	"keratin 76, type II [Source:RGD Symbol;Acc:1303078]"
ENSRNOP00000046340	ENSRNOT00000050538	ENSRNOG00000050743	LOC100911796	adenosine receptor A3-like [Source:RGD Symbol;Acc:6491091]
ENSRNOP00000046341	ENSRNOT00000042582	ENSRNOG00000030412	Olr1378	olfactory receptor 1378 [Source:RGD Symbol;Acc:1332786]
ENSRNOP00000046345	ENSRNOT00000041237	ENSRNOG00000031421	Eif1a	eukaryotic translation initiation factor 1A [Source:RGD Symbol;Acc:1306331]
ENSRNOP00000046347	ENSRNOT00000039993	ENSRNOG00000045591	AABR07014089.1	
ENSRNOP00000046348	ENSRNOT00000042507	ENSRNOG00000033679	AABR07041771.1	
ENSRNOP00000046349	ENSRNOT00000041452	ENSRNOG00000042080	Il31ra	interleukin 31 receptor A [Source:RGD Symbol;Acc:1586478]
ENSRNOP00000046352	ENSRNOT00000040738	ENSRNOG00000033061	Vom1r56	vomeronasal 1 receptor 56 [Source:RGD Symbol;Acc:1359419]
ENSRNOP00000046353	ENSRNOT00000041732	ENSRNOG00000052647	RGD1561114	similar to hypothetical protein 4930474N05 [Source:RGD Symbol;Acc:1561114]
ENSRNOP00000046362	ENSRNOT00000045718	ENSRNOG00000049695	Myh2	"myosin, heavy chain 2, skeletal muscle, adult [Source:RGD Symbol;Acc:620354]"
ENSRNOP00000046364	ENSRNOT00000045320	ENSRNOG00000029121	AABR07065790.1	
ENSRNOP00000046366	ENSRNOT00000047647	ENSRNOG00000046346	Olr1063	olfactory receptor 1063 [Source:RGD Symbol;Acc:1332732]
ENSRNOP00000046370	ENSRNOT00000040650	ENSRNOG00000028557	Hibch	3-hydroxyisobutyryl-CoA hydrolase [Source:RGD Symbol;Acc:1308392]
ENSRNOP00000046380	ENSRNOT00000043384	ENSRNOG00000028586	Mcph1	microcephalin 1 [Source:RGD Symbol;Acc:1560642]
ENSRNOP00000046399	ENSRNOT00000044844	ENSRNOG00000019036	Ldhd	lactate dehydrogenase D [Source:RGD Symbol;Acc:1308107]
ENSRNOP00000046400	ENSRNOT00000046463	ENSRNOG00000006582	Aptx	aprataxin [Source:RGD Symbol;Acc:628740]
ENSRNOP00000046404	ENSRNOT00000042331	ENSRNOG00000001120	Med13l	mediator complex subunit 13-like [Source:RGD Symbol;Acc:1305884]
ENSRNOP00000046409	ENSRNOT00000049571	ENSRNOG00000046349	AABR07067829.1	
ENSRNOP00000046410	ENSRNOT00000051522	ENSRNOG00000021660	Nprl2	"NPR2-like, GATOR1 complex subunit [Source:RGD Symbol;Acc:1308927]"
ENSRNOP00000046413	ENSRNOT00000045882	ENSRNOG00000008970	Pcdh17	protocadherin 17 [Source:RGD Symbol;Acc:1304753]
ENSRNOP00000046414	ENSRNOT00000043693	ENSRNOG00000030371	Mt-co2	mitochondrially encoded cytochrome c oxidase II [Source:RGD Symbol;Acc:621872]
ENSRNOP00000046415	ENSRNOT00000039954	ENSRNOG00000010031	Vtn	vitronectin [Source:RGD Symbol;Acc:3967]
ENSRNOP00000046417	ENSRNOT00000041596	ENSRNOG00000022261	Cenpu	centromere protein U [Source:RGD Symbol;Acc:1562566]
ENSRNOP00000046422	ENSRNOT00000042498	ENSRNOG00000033583	LOC100910577	zinc finger protein 709-like [Source:RGD Symbol;Acc:6497573]
ENSRNOP00000046427	ENSRNOT00000041410	ENSRNOG00000033843	AABR07007121.1	
ENSRNOP00000046429	ENSRNOT00000044699	ENSRNOG00000057548	AABR07051741.1	
ENSRNOP00000046432	ENSRNOT00000049621	ENSRNOG00000030445	Ormdl3	ORMDL sphingolipid biosynthesis regulator 3 [Source:RGD Symbol;Acc:1560577]
ENSRNOP00000046440	ENSRNOT00000048677	ENSRNOG00000033744	Rasgrp4	RAS guanyl releasing protein 4 [Source:RGD Symbol;Acc:620476]
ENSRNOP00000046443	ENSRNOT00000040147	ENSRNOG00000022822	Fam169b	"family with sequence similarity 169, member B [Source:RGD Symbol;Acc:1585883]"
ENSRNOP00000046444	ENSRNOT00000040634	ENSRNOG00000022107	RT1-M6-1	"RT1 class I, locus M6, gene 1 [Source:RGD Symbol;Acc:1598232]"
ENSRNOP00000046447	ENSRNOT00000040963	ENSRNOG00000016960	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E [Source:RGD Symbol;Acc:1308086]
ENSRNOP00000046455	ENSRNOT00000044376	ENSRNOG00000031233	Mapk12	mitogen-activated protein kinase 12 [Source:RGD Symbol;Acc:70975]
ENSRNOP00000046459	ENSRNOT00000046152	ENSRNOG00000021996	Nlrp4	"NLR family, pyrin domain containing 4 [Source:RGD Symbol;Acc:1563529]"
ENSRNOP00000046461	ENSRNOT00000040016	ENSRNOG00000033479	Pcdhb21	protocadherin beta 21 [Source:RGD Symbol;Acc:1305349]
ENSRNOP00000046464	ENSRNOT00000050751	ENSRNOG00000048132	Olr927	olfactory receptor 927 [Source:RGD Symbol;Acc:1333893]
ENSRNOP00000046476	ENSRNOT00000047861	ENSRNOG00000029197	Diablo	"diablo, IAP-binding mitochondrial protein [Source:RGD Symbol;Acc:1310885]"
ENSRNOP00000046477	ENSRNOT00000048546	ENSRNOG00000038242	LOC365791	similar to T-cell activation Rho GTPase-activating protein isoform b [Source:RGD Symbol;Acc:1359174]
ENSRNOP00000046482	ENSRNOT00000050916	ENSRNOG00000049837	Vom2r65	"vomeronasal 2 receptor, 65 [Source:RGD Symbol;Acc:1592357]"
ENSRNOP00000046487	ENSRNOT00000051559	ENSRNOG00000028963	RGD1562755	similar to 60S ribosomal protein L23a [Source:RGD Symbol;Acc:1562755]
ENSRNOP00000046488	ENSRNOT00000049180	ENSRNOG00000002229	Adcy5	adenylate cyclase 5 [Source:RGD Symbol;Acc:71014]
ENSRNOP00000046491	ENSRNOT00000047840	ENSRNOG00000002292	Hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:RGD Symbol;Acc:620365]
ENSRNOP00000046496	ENSRNOT00000042246	ENSRNOG00000033422	Olr561	olfactory receptor 561 [Source:RGD Symbol;Acc:1333264]
ENSRNOP00000046497	ENSRNOT00000044565	ENSRNOG00000029394	Dusp8	dual specificity phosphatase 8 [Source:MGI Symbol;Acc:MGI:106626]
ENSRNOP00000046507	ENSRNOT00000045163	ENSRNOG00000018740	Ugt1a8	"UDP glycosyltransferase 1 family, polypeptide A8 [Source:RGD Symbol;Acc:708474]"
ENSRNOP00000046508	ENSRNOT00000041138	ENSRNOG00000003063	Phka1	"phosphorylase kinase, alpha 1 [Source:RGD Symbol;Acc:621522]"
ENSRNOP00000046509	ENSRNOT00000045326	ENSRNOG00000034015	Capn2	"calpain 2, (m/II) large subunit [Source:RGD Symbol;Acc:2268]"
ENSRNOP00000046510	ENSRNOT00000051646	ENSRNOG00000047925	Olr1673	olfactory receptor 1673 [Source:RGD Symbol;Acc:1332701]
ENSRNOP00000046515	ENSRNOT00000047517	ENSRNOG00000032947	AABR07067749.1	
ENSRNOP00000046524	ENSRNOT00000047210	ENSRNOG00000026649	Dnmt3a	DNA (cytosine-5-)-methyltransferase 3 alpha [Source:RGD Symbol;Acc:1303336]
ENSRNOP00000046527	ENSRNOT00000045603	ENSRNOG00000029497	Ube2d4l1	ubiquitin-conjugating enzyme E2D 4 like 1 [Source:RGD Symbol;Acc:2323338]
ENSRNOP00000046539	ENSRNOT00000050112	ENSRNOG00000029522	Defa6	defensin alpha 6 [Source:RGD Symbol;Acc:1562293]
ENSRNOP00000046545	ENSRNOT00000049950	ENSRNOG00000046632	Olr581	olfactory receptor 581 [Source:RGD Symbol;Acc:1333069]
ENSRNOP00000046549	ENSRNOT00000042532	ENSRNOG00000030216	Abcg3l1	"ATP-binding cassette, subfamily G (WHITE), member 3-like 1 [Source:RGD Symbol;Acc:1303294]"
ENSRNOP00000046551	ENSRNOT00000047171	ENSRNOG00000031533	Dcaf12l2	DDB1 and CUL4 associated factor 12-like 2 [Source:RGD Symbol;Acc:1560768]
ENSRNOP00000046553	ENSRNOT00000041984	ENSRNOG00000032635	LOC100910370	60S ribosomal protein L8-like [Source:RGD Symbol;Acc:6498932]
ENSRNOP00000046560	ENSRNOT00000045362	ENSRNOG00000028910	RGD1565536	similar to hypothetical protein [Source:RGD Symbol;Acc:1565536]
ENSRNOP00000046565	ENSRNOT00000048103	ENSRNOG00000000833	Vars2	"valyl-tRNA synthetase 2, mitochondrial [Source:RGD Symbol;Acc:1303122]"
ENSRNOP00000046569	ENSRNOT00000040879	ENSRNOG00000050885	LOC100910526	sulfotransferase 1C2-like [Source:RGD Symbol;Acc:6497849]
ENSRNOP00000046572	ENSRNOT00000044160	ENSRNOG00000049468	AABR07043449.1	
ENSRNOP00000046575	ENSRNOT00000052240	ENSRNOG00000030468	Olr475	olfactory receptor 475 [Source:RGD Symbol;Acc:1332647]
ENSRNOP00000046578	ENSRNOT00000040493	ENSRNOG00000056310	AC128084.1	
ENSRNOP00000046588	ENSRNOT00000049463	ENSRNOG00000030984	Stfa3l1	stefin A3-like 1 [Source:RGD Symbol;Acc:1302997]
ENSRNOP00000046593	ENSRNOT00000046746	ENSRNOG00000018524	Ezr	ezrin [Source:RGD Symbol;Acc:621161]
ENSRNOP00000046594	ENSRNOT00000048695	ENSRNOG00000037839	P2ry10	"purinergic receptor P2Y, G-protein coupled, 10 [Source:RGD Symbol;Acc:1561912]"
ENSRNOP00000046596	ENSRNOT00000052329	ENSRNOG00000050291	Olr1459	olfactory receptor 1459 [Source:RGD Symbol;Acc:1334155]
ENSRNOP00000046597	ENSRNOT00000043172	ENSRNOG00000016924	Acly	ATP citrate lyase [Source:RGD Symbol;Acc:2018]
ENSRNOP00000046598	ENSRNOT00000049722	ENSRNOG00000033665	Mrgprx2	"MAS-related GPR, member X2 [Source:RGD Symbol;Acc:738048]"
ENSRNOP00000046600	ENSRNOT00000040851	ENSRNOG00000031061	LOC306079	similar to RIKEN cDNA 3100001N19 [Source:RGD Symbol;Acc:1564564]
ENSRNOP00000046606	ENSRNOT00000049474	ENSRNOG00000029308	Lrmp	lymphoid-restricted membrane protein [Source:RGD Symbol;Acc:1562062]
ENSRNOP00000046608	ENSRNOT00000048343	ENSRNOG00000047976	Olr1558	olfactory receptor 1558 [Source:RGD Symbol;Acc:1333626]
ENSRNOP00000046614	ENSRNOT00000049754	ENSRNOG00000047749	Olr1393	olfactory receptor 1393 [Source:RGD Symbol;Acc:1333419]
ENSRNOP00000046622	ENSRNOT00000047234	ENSRNOG00000014137	Fbln1	fibulin 1 [Source:RGD Symbol;Acc:1308667]
ENSRNOP00000046624	ENSRNOT00000047240	ENSRNOG00000029147	Rbm11	RNA binding motif protein 11 [Source:RGD Symbol;Acc:1305195]
ENSRNOP00000046627	ENSRNOT00000052396	ENSRNOG00000009548	Fpgt	fucose-1-phosphate guanylyltransferase [Source:RGD Symbol;Acc:735121]
ENSRNOP00000046632	ENSRNOT00000040021	ENSRNOG00000031134	Serpinb3	"serpin peptidase inhibitor, clade B (ovalbumin), member 3 [Source:RGD Symbol;Acc:1549766]"
ENSRNOP00000046632	ENSRNOT00000040021	ENSRNOG00000031134	Serpinb3	"serpin peptidase inhibitor, clade B (ovalbumin), member 3 [Source:RGD Symbol;Acc:1549766]"
ENSRNOP00000046647	ENSRNOT00000044131	ENSRNOG00000023664	Leprot	leptin receptor overlapping transcript [Source:RGD Symbol;Acc:621034]
ENSRNOP00000046654	ENSRNOT00000051892	ENSRNOG00000020578	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) [Source:RGD Symbol;Acc:67396]
ENSRNOP00000046655	ENSRNOT00000048614	ENSRNOG00000030150	LOC100362109	hypothetical protein LOC100362109 [Source:RGD Symbol;Acc:2318773]
ENSRNOP00000046656	ENSRNOT00000048817	ENSRNOG00000017960	Deaf1	DEAF1 transcription factor [Source:RGD Symbol;Acc:620671]
ENSRNOP00000046662	ENSRNOT00000045930	ENSRNOG00000012165	Ccdc129	coiled-coil domain containing 129 [Source:RGD Symbol;Acc:1561131]
ENSRNOP00000046663	ENSRNOT00000046290	ENSRNOG00000031903	Olr289	olfactory receptor 289 [Source:RGD Symbol;Acc:1333302]
ENSRNOP00000046664	ENSRNOT00000043182	ENSRNOG00000031792	Mcpt1l3	mast cell protease 1-like 3 [Source:RGD Symbol;Acc:1302933]
ENSRNOP00000046666	ENSRNOT00000043737	ENSRNOG00000030688	Lrrc2	leucine rich repeat containing 2 [Source:RGD Symbol;Acc:1311716]
ENSRNOP00000046669	ENSRNOT00000041479	ENSRNOG00000055038	AABR07013302.1	
ENSRNOP00000046671	ENSRNOT00000046713	ENSRNOG00000032999	AABR07047606.1	
ENSRNOP00000046674	ENSRNOT00000045517	ENSRNOG00000030868	LOC367746	similar to Spindlin-like protein 2 (SPIN-2) [Source:RGD Symbol;Acc:1584901]
ENSRNOP00000046676	ENSRNOT00000046694	ENSRNOG00000047011	AABR07065889.1	
ENSRNOP00000046681	ENSRNOT00000048500	ENSRNOG00000032512	Olr1144	olfactory receptor 1144 [Source:RGD Symbol;Acc:1333665]
ENSRNOP00000046682	ENSRNOT00000046688	ENSRNOG00000045627	Olr552	olfactory receptor 552 [Source:RGD Symbol;Acc:1333948]
ENSRNOP00000046690	ENSRNOT00000050612	ENSRNOG00000020351	Vps4a	vacuolar protein sorting 4 homolog A (S. cerevisiae) [Source:RGD Symbol;Acc:628810]
ENSRNOP00000046691	ENSRNOT00000041215	ENSRNOG00000030127	Eml2	echinoderm microtubule associated protein like 2 [Source:RGD Symbol;Acc:621066]
ENSRNOP00000046692	ENSRNOT00000048378	ENSRNOG00000034190	Ighm	immunoglobulin heavy constant mu [Source:MGI Symbol;Acc:MGI:96448]
ENSRNOP00000046697	ENSRNOT00000040737	ENSRNOG00000005365	Kcnip1	Kv channel-interacting protein 1 [Source:RGD Symbol;Acc:70886]
ENSRNOP00000046700	ENSRNOT00000047852	ENSRNOG00000048223	Olr211	olfactory receptor 211 [Source:RGD Symbol;Acc:1334173]
ENSRNOP00000046702	ENSRNOT00000041861	ENSRNOG00000050995		
ENSRNOP00000046706	ENSRNOT00000049630	ENSRNOG00000050467	Olr480	olfactory receptor 480 [Source:RGD Symbol;Acc:1333774]
ENSRNOP00000046713	ENSRNOT00000046919	ENSRNOG00000017758	LOC361985	similar to NICE-3 [Source:RGD Symbol;Acc:1359625]
ENSRNOP00000046721	ENSRNOT00000047380	ENSRNOG00000032561	Slc52a2	"solute carrier family 52, riboflavin transporter, member 2 [Source:RGD Symbol;Acc:1560410]"
ENSRNOP00000046722	ENSRNOT00000044521	ENSRNOG00000010699	Trim43a	tripartite motif-containing 43A [Source:RGD Symbol;Acc:1561074]
ENSRNOP00000046724	ENSRNOT00000049240	ENSRNOG00000031141	Tmem89	transmembrane protein 89 [Source:RGD Symbol;Acc:1564575]
ENSRNOP00000046729	ENSRNOT00000042747	ENSRNOG00000031688	Olr1073	olfactory receptor 1073 [Source:RGD Symbol;Acc:1332740]
ENSRNOP00000046730	ENSRNOT00000040655	ENSRNOG00000029615	Olr1453	olfactory receptor 1453 [Source:RGD Symbol;Acc:1334077]
ENSRNOP00000046733	ENSRNOT00000046980	ENSRNOG00000033109	Trdv5	T cell receptor delta variable 5 [Source:MGI Symbol;Acc:MGI:3704133]
ENSRNOP00000046736	ENSRNOT00000047996	ENSRNOG00000050826	Olr695	olfactory receptor 695 [Source:RGD Symbol;Acc:1332799]
ENSRNOP00000046737	ENSRNOT00000047109	ENSRNOG00000053756	LOC100909878	40S ribosomal protein S15a-like [Source:RGD Symbol;Acc:6501297]
ENSRNOP00000046740	ENSRNOT00000046266	ENSRNOG00000017644	Usp6nl	USP6 N-terminal like [Source:RGD Symbol;Acc:1311786]
ENSRNOP00000046742	ENSRNOT00000051470	ENSRNOG00000045867	Olr860	olfactory receptor 860 [Source:RGD Symbol;Acc:1333268]
ENSRNOP00000046751	ENSRNOT00000043216	ENSRNOG00000008237	Unc13b	unc-13 homolog B (C. elegans) [Source:RGD Symbol;Acc:619723]
ENSRNOP00000046756	ENSRNOT00000044249	ENSRNOG00000033025	Olr1192	olfactory receptor 1192 [Source:RGD Symbol;Acc:1333078]
ENSRNOP00000046757	ENSRNOT00000046568	ENSRNOG00000034129	AABR07061382.1	
ENSRNOP00000046759	ENSRNOT00000049864	ENSRNOG00000032522	RGD1560784	similar to RIKEN cDNA B630019K06 [Source:RGD Symbol;Acc:1560784]
ENSRNOP00000046761	ENSRNOT00000044115	ENSRNOG00000030201	Olr331	olfactory receptor 331 [Source:RGD Symbol;Acc:1333238]
ENSRNOP00000046765	ENSRNOT00000043135	ENSRNOG00000030215	Olr245	olfactory receptor 245 [Source:RGD Symbol;Acc:1334180]
ENSRNOP00000046774	ENSRNOT00000043451	ENSRNOG00000033280	Pam	peptidylglycine alpha-amidating monooxygenase [Source:RGD Symbol;Acc:3252]
ENSRNOP00000046777	ENSRNOT00000044121	ENSRNOG00000009199	Accs	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) [Source:RGD Symbol;Acc:1309314]
ENSRNOP00000046778	ENSRNOT00000039877	ENSRNOG00000010388	Slc21a4	kidney specific organic anion transporter [Source:RGD Symbol;Acc:621387]
ENSRNOP00000046782	ENSRNOT00000040534	ENSRNOG00000047426	Olr1408	olfactory receptor 1408 [Source:RGD Symbol;Acc:1333846]
ENSRNOP00000046783	ENSRNOT00000044477	ENSRNOG00000033790	Hnrnpu	heterogeneous nuclear ribonucleoprotein U [Source:RGD Symbol;Acc:620372]
ENSRNOP00000046789	ENSRNOT00000049468	ENSRNOG00000029470	LOC685619	similar to TP53-regulating kinase (p53-related protein kinase) (Nori-2) [Source:RGD Symbol;Acc:1591394]
ENSRNOP00000046792	ENSRNOT00000045743	ENSRNOG00000048229	Olr781	olfactory receptor 781 [Source:RGD Symbol;Acc:1334408]
ENSRNOP00000046794	ENSRNOT00000050494	ENSRNOG00000019087	Fam174a	"family with sequence similarity 174, member A [Source:RGD Symbol;Acc:1309973]"
ENSRNOP00000046821	ENSRNOT00000042522	ENSRNOG00000025516	Oc90	otoconin 90 [Source:RGD Symbol;Acc:1593441]
ENSRNOP00000046821	ENSRNOT00000042522	ENSRNOG00000025516	Oc90	otoconin 90 [Source:RGD Symbol;Acc:1593441]
ENSRNOP00000046828	ENSRNOT00000047666	ENSRNOG00000031890	Ncam1	neural cell adhesion molecule 1 [Source:RGD Symbol;Acc:67378]
ENSRNOP00000046830	ENSRNOT00000040313	ENSRNOG00000026650	Tmprss4	"transmembrane protease, serine 4 [Source:RGD Symbol;Acc:1305033]"
ENSRNOP00000046834	ENSRNOT00000048900	ENSRNOG00000022721	Clec18a	"C-type lectin domain family 18, member A [Source:RGD Symbol;Acc:1559899]"
ENSRNOP00000046841	ENSRNOT00000044931	ENSRNOG00000009580	Lca5	Leber congenital amaurosis 5 [Source:RGD Symbol;Acc:1308555]
ENSRNOP00000046842	ENSRNOT00000045053	ENSRNOG00000018118	Atad3a	"ATPase family, AAA domain containing 3A [Source:RGD Symbol;Acc:1305964]"
ENSRNOP00000046845	ENSRNOT00000045415	ENSRNOG00000031368	LOC499235	LRRGT00141 [Source:RGD Symbol;Acc:1565730]
ENSRNOP00000046846	ENSRNOT00000040060	ENSRNOG00000033235	Relb	v-rel avian reticuloendotheliosis viral oncogene homolog B [Source:RGD Symbol;Acc:2321078]
ENSRNOP00000046848	ENSRNOT00000041353	ENSRNOG00000049640	Olr1376	olfactory receptor 1376 [Source:RGD Symbol;Acc:1334086]
ENSRNOP00000046853	ENSRNOT00000042834	ENSRNOG00000030551	LOC102551265	phospholipid scramblase 1-like [Source:RGD Symbol;Acc:7575278]
ENSRNOP00000046861	ENSRNOT00000043988	ENSRNOG00000031942	Olr1313	olfactory receptor 1313 [Source:RGD Symbol;Acc:1332827]
ENSRNOP00000046863	ENSRNOT00000041975	ENSRNOG00000000282	Gsc2	goosecoid homeobox 2 [Source:RGD Symbol;Acc:1305333]
ENSRNOP00000046867	ENSRNOT00000051445	ENSRNOG00000012794	Grhpr	glyoxylate reductase/hydroxypyruvate reductase [Source:RGD Symbol;Acc:1308851]
ENSRNOP00000046873	ENSRNOT00000049512	ENSRNOG00000000973	RGD1563425	similar to FLJ35784 protein [Source:RGD Symbol;Acc:1563425]
ENSRNOP00000046880	ENSRNOT00000051755	ENSRNOG00000017299	Phrf1	PHD and ring finger domains 1 [Source:RGD Symbol;Acc:708360]
ENSRNOP00000046881	ENSRNOT00000044587	ENSRNOG00000050845	Olr1007	olfactory receptor 1007 [Source:RGD Symbol;Acc:1334418]
ENSRNOP00000046900	ENSRNOT00000045647	ENSRNOG00000029762	Acr	acrosin [Source:RGD Symbol;Acc:2024]
ENSRNOP00000046904	ENSRNOT00000045686	ENSRNOG00000042224	Cyp2j10	"cytochrome P450, family 2, subfamily j, polypeptide 10 [Source:RGD Symbol;Acc:1563215]"
ENSRNOP00000046914	ENSRNOT00000046385	ENSRNOG00000028997	RGD1561671	similar to RIKEN cDNA 2900010M23 [Source:RGD Symbol;Acc:1561671]
ENSRNOP00000046916	ENSRNOT00000047222	ENSRNOG00000045596	Olr205	olfactory receptor 205 [Source:RGD Symbol;Acc:1334018]
ENSRNOP00000046923	ENSRNOT00000050832	ENSRNOG00000014030	Synm	"synemin, intermediate filament protein [Source:RGD Symbol;Acc:727872]"
ENSRNOP00000046942	ENSRNOT00000045183	ENSRNOG00000014670	Zmynd11	"zinc finger, MYND-type containing 11 [Source:RGD Symbol;Acc:1303252]"
ENSRNOP00000046943	ENSRNOT00000043154	ENSRNOG00000034126	Pcdhga2	"protocadherin gamma subfamily A, 2 [Source:RGD Symbol;Acc:1587259]"
